source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/test_episode_metrics.csv,40ccaf33187eaf437f1db57c0a3b4612bfc66b9718623eb1341a2744edbc0a64,17608,30,False,True,True
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/test_selected_checkpoints.csv,bcf215a84bc18d325d2ec2f2d41ed69a8f83fe22fff4ad45b8d601a155b26f7b,1153,3,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/validation_checkpoint_summary.csv,67eb4c26d43ad9ddf5e16abe0292cde2c3f2e2c83eaaffaf45129adc06568483,3602,12,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/validation_episode_metrics.csv,764c4aaf0df103c2ef06a520af1f0c7db60d1cb9e96b987d74dd609aba5a6e16,66512,120,False,True,True
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep/validation_selected_checkpoints.csv,323b9cd17b7c06b9ba285c27973028761b547d94af00d324388f7710afc82561,1173,3,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/test_checkpoint_summary.csv,96be5cfe8094c233b403805b3f9d6d5b08b4a583b3b07740c0c550eb7b6256d5,2108,6,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/test_episode_metrics.csv,2d6084776a5bd25bb1cbb86d99eaecd2c04ae1ba06290b5858c73a2ae5966e5d,34323,60,False,True,True
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/test_selected_checkpoints.csv,c9ace6f7e0807d1844dde07397e9dae3c7b43778687d38c3267f73b0cafc30ca,1875,6,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/validation_checkpoint_summary.csv,a198d542198887bb070cbf3c7167ebd107458e4545f9953857a902996c21de2b,6854,24,False,False,False
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/validation_episode_metrics.csv,09bdb0498341fcc68d4a782cdd2eece7694e680c1c5ee0b277b09c50ece975a4,134886,240,False,True,True
e02a753,results/gate1_safety_fx60_weaving_mild_finetune_3seed_dev20/checkpoint_sweep_all3/validation_selected_checkpoints.csv,276b19d80c272a41a4c53d17359d7afde6922f4b9c2f636a5a03b6732fccb245,1914,6,False,False,False
